instance,part_name,changed,expected_change,v15_9_bbox,v15_10_bbox,v15_9_nodes,v15_10_nodes,v15_9_elements,v15_10_elements,status,notes
V15_4_ECO_RELEASE_APPROACH_SLAB_I,V15_4_ECO_RELEASE_APPROACH_SLAB,NO,NO,"-5.000000,-15.400000,3050.000000;25.000000,-2.900000,3058.000000","-5.000000,-15.400000,3050.000000;25.000000,-2.900000,3058.000000",2646,2646,2080,2080,PASS,v15.9 geometry retained byte-for-byte
V15_4_ECO_RELEASE_OUTLET_SLAB_I,V15_4_ECO_RELEASE_OUTLET_SLAB,NO,NO,"25.000000,-15.400000,3050.000000;38.000000,-2.900000,3051.000000","25.000000,-15.400000,3050.000000;38.000000,-2.900000,3051.000000",588,588,338,338,PASS,v15.9 geometry retained byte-for-byte
V15_4_ECO_RELEASE_LINK_TO_BASIN_I,V15_4_ECO_RELEASE_LINK_TO_BASIN,NO,NO,"25.000000,-2.900000,3049.000000;38.000000,6.850000,3050.000000","25.000000,-2.900000,3049.000000;38.000000,6.850000,3050.000000",462,462,260,260,PASS,v15.9 geometry retained byte-for-byte
V15_4_LEFT_BANK_SUBDAM_I,V15_4_LEFT_BANK_SUBDAM,YES,YES,"-101.000000,-147.700000,3059.000000;-86.000000,-58.000000,3079.000000","-101.000000,-245.700000,3059.000000;-86.150000,-156.000000,3079.000000",444,3838,216,2756,PASS,V15.10 local correction scope (engineering or foundation geology)
V15_4_FISHWAY_I,V15_4_FISHWAY,YES,YES,"-101.000000,-512.690000,3053.000000;442.000000,-58.120000,3076.000000","-99.000000,-697.020000,3053.000000;441.250000,-58.870000,3076.000000",11438,14256,3327,4266,PASS,V15.10 local correction scope (engineering or foundation geology)
V15_4_FISHWAY_OUTLET_CHAMBER_I,V15_4_FISHWAY_OUTLET_CHAMBER,YES,YES,"-101.000000,-375.120000,3073.000000;-97.000000,-355.120000,3079.000000","-90.000000,-559.450000,3073.000000;-86.000000,-539.450000,3079.000000",903,777,400,400,PASS,V15.10 local correction scope (engineering or foundation geology)
V15_4_FISHWAY_UPSTREAM_OUTLET_I,V15_4_FISHWAY_UPSTREAM_OUTLET,YES,YES,"-101.000000,-512.690000,3074.000000;-97.000000,-475.120000,3079.000000","-90.000000,-697.020000,3074.000000;-86.000000,-659.450000,3079.000000",1170,1170,760,760,PASS,V15.10 local correction scope (engineering or foundation geology)
V15_4_POWERHOUSE_SEDIMENT_FLUSHING_OUTLET_01_I,V15_4_POWERHOUSE_SEDIMENT_FLUSHING_OUTLET_01,NO,NO,"-30.000000,-96.600000,3037.000000;24.000000,-94.100000,3046.000000","-30.000000,-96.600000,3037.000000;24.000000,-94.100000,3046.000000",2574,2574,1760,1760,PASS,v15.9 geometry retained byte-for-byte
V15_4_POWERHOUSE_SEDIMENT_FLUSHING_OUTLET_02_I,V15_4_POWERHOUSE_SEDIMENT_FLUSHING_OUTLET_02,NO,NO,"-30.000000,-43.300000,3037.000000;24.000000,-40.800000,3046.000000","-30.000000,-43.300000,3037.000000;24.000000,-40.800000,3046.000000",2574,2574,1760,1760,PASS,v15.9 geometry retained byte-for-byte
V15_7_FOUNDATION_GEOLOGY_I,V15_7_FOUNDATION_GEOLOGY,YES,YES,"-600.000000,-1000.000000,2600.000000;900.000000,850.000000,3426.400000","-600.000000,-1000.000000,2600.000000;900.000000,850.000000,3426.400000",641193,641193,591794,591684,PASS,V15.10 local correction scope (engineering or foundation geology)
