Element label,Part,Instance,Element set,Material,Section,Coordinates,Error type
889,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-140.470752800,3057.741935000;439.000000000,-139.482013400,3059.758065000",NEGATIVE_VOLUME
890,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-141.459492300,3057.758065000;439.000000000,-140.470752800,3059.774194000",NEGATIVE_VOLUME
891,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-142.448231700,3057.774194000;439.000000000,-141.459492300,3059.790323000",NEGATIVE_VOLUME
892,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-143.436971100,3057.790323000;439.000000000,-142.448231700,3059.806452000",NEGATIVE_VOLUME
893,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-144.425710500,3057.806452000;439.000000000,-143.436971100,3059.822581000",NEGATIVE_VOLUME
894,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-145.414450000,3057.822581000;439.000000000,-144.425710500,3059.838710000",NEGATIVE_VOLUME
895,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-146.403189400,3057.838710000;439.000000000,-145.414450000,3059.854839000",NEGATIVE_VOLUME
896,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-147.391928800,3057.854839000;439.000000000,-146.403189400,3059.870968000",NEGATIVE_VOLUME
897,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-148.380668200,3057.870968000;439.000000000,-147.391928800,3059.887097000",NEGATIVE_VOLUME
898,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-149.369407600,3057.887097000;439.000000000,-148.380668200,3059.903226000",NEGATIVE_VOLUME
899,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-150.358147100,3057.903226000;439.000000000,-149.369407600,3059.919355000",NEGATIVE_VOLUME
