instance,part,mesh_class,nodes,elements,source_nodes,source_elements,delta_nodes,delta_elements,remeshed,bbox
V15_4_POWERHOUSE_INSTALLATION_BAY_I,V15_4_POWERHOUSE_INSTALLATION_BAY,ENGINEERING_MESH,20652,14094,20652,14094,0,0,NO,"-64.000000,-122.000000,3056.465000;-30.000000,-15.400000,3079.000000"
V15_4_TAILWATER_CHANNEL_I,V15_4_TAILWATER_CHANNEL,ENGINEERING_MESH,3780,1798,3780,1798,0,0,NO,"26.500000,-87.000000,3036.100000;180.500000,-15.400000,3053.000000"
V15_4_TAILWATER_RIVERBED_I,V15_4_TAILWATER_RIVERBED,ENGINEERING_MESH,1520,702,1520,702,0,0,NO,"26.500000,-87.000000,3032.100000;180.500000,-15.400000,3052.200000"
V15_4_TAILWATER_LEFT_RETAINING_WALL_I,V15_4_TAILWATER_LEFT_RETAINING_WALL,ENGINEERING_MESH,2808,1694,2808,1694,0,0,NO,"26.500000,-92.500000,3036.100000;180.500000,-88.500000,3058.000000"
V15_4_TAILWATER_DOWNSTREAM_RIVERBED_I,V15_4_TAILWATER_DOWNSTREAM_RIVERBED,ENGINEERING_MESH,800,360,800,360,0,0,NO,"180.500000,-87.000000,3045.000000;300.500000,-15.400000,3056.200000"
V15_4_SPILLWAY_INTERMEDIATE_PIER_01_I,V15_4_SPILLWAY_INTERMEDIATE_PIER_01,ENGINEERING_MESH,1386,840,1386,840,0,0,NO,"-20.000000,27.000000,3047.500000;10.000000,30.000000,3079.000000"
V15_4_SPILLWAY_INTERMEDIATE_PIER_02_I,V15_4_SPILLWAY_INTERMEDIATE_PIER_02,ENGINEERING_MESH,1386,840,1386,840,0,0,NO,"-20.000000,37.000000,3047.500000;10.000000,40.000000,3079.000000"
V15_4_SPILLWAY_INTERMEDIATE_PIER_03_I,V15_4_SPILLWAY_INTERMEDIATE_PIER_03,ENGINEERING_MESH,1386,840,1386,840,0,0,NO,"-20.000000,47.000000,3047.500000;10.000000,50.000000,3079.000000"
V15_4_SPILLWAY_INTERMEDIATE_PIER_04_I,V15_4_SPILLWAY_INTERMEDIATE_PIER_04,ENGINEERING_MESH,1386,840,1386,840,0,0,NO,"-20.000000,57.000000,3047.500000;10.000000,60.000000,3079.000000"
V15_4_SPILLWAY_INTERMEDIATE_PIER_05_I,V15_4_SPILLWAY_INTERMEDIATE_PIER_05,ENGINEERING_MESH,1386,840,1386,840,0,0,NO,"-20.000000,67.000000,3047.500000;10.000000,70.000000,3079.000000"
V15_4_SPILLWAY_INTERMEDIATE_PIER_06_I,V15_4_SPILLWAY_INTERMEDIATE_PIER_06,ENGINEERING_MESH,1386,840,1386,840,0,0,NO,"-20.000000,77.000000,3047.500000;10.000000,80.000000,3079.000000"
V15_4_SPILLWAY_INTERMEDIATE_PIER_07_I,V15_4_SPILLWAY_INTERMEDIATE_PIER_07,ENGINEERING_MESH,1386,840,1386,840,0,0,NO,"-20.000000,87.000000,3047.500000;10.000000,90.000000,3079.000000"
V15_4_SPILLWAY_LEFT_ABUTMENT_I,V15_4_SPILLWAY_LEFT_ABUTMENT,ENGINEERING_MESH,9180,7552,9180,7552,0,0,NO,"-35.000000,16.000000,3047.500000;-20.000000,133.000000,3079.000000"
V15_4_SPILLWAY_RIGHT_ABUTMENT_I,V15_4_SPILLWAY_RIGHT_ABUTMENT,ENGINEERING_MESH,4845,4032,4845,4032,0,0,NO,"10.000000,97.000000,3047.500000;38.000000,133.000000,3079.000000"
V15_4_SPILLWAY_LINTEL_01_I,V15_4_SPILLWAY_LINTEL_01,ENGINEERING_MESH,6200,5040,6200,5040,0,0,NO,"-20.000000,20.000000,3055.230000;10.000000,27.000000,3079.000000"
V15_4_SPILLWAY_LINTEL_02_I,V15_4_SPILLWAY_LINTEL_02,ENGINEERING_MESH,6200,5040,6200,5040,0,0,NO,"-20.000000,30.000000,3055.230000;10.000000,37.000000,3079.000000"
V15_4_SPILLWAY_LINTEL_03_I,V15_4_SPILLWAY_LINTEL_03,ENGINEERING_MESH,6200,5040,6200,5040,0,0,NO,"-20.000000,40.000000,3055.230000;10.000000,47.000000,3079.000000"
V15_4_SPILLWAY_LINTEL_04_I,V15_4_SPILLWAY_LINTEL_04,ENGINEERING_MESH,6200,5040,6200,5040,0,0,NO,"-20.000000,50.000000,3055.230000;10.000000,57.000000,3079.000000"
V15_4_SPILLWAY_LINTEL_05_I,V15_4_SPILLWAY_LINTEL_05,ENGINEERING_MESH,6200,5040,6200,5040,0,0,NO,"-20.000000,60.000000,3055.230000;10.000000,67.000000,3079.000000"
