instance,part,active_v12,active_v14,active_v15,nodes,elements,element_type,x_min,x_max,y_min,y_max,z_min,z_max,material,classification
P25_SOLID_CUTOFF_WALL_F13-1,P25_SOLID_CUTOFF_WALL_F13,YES,YES,YES,2250,1036,C3D8P,-36.0,-35.0,3021.0,3073.51147,0.0,295.0,P25_FANGSHENQIANG,REUSE_AS_IS
V12_UPSTREAM_GEOMEMBRANE-1,V12_UPSTREAM_GEOMEMBRANE,YES,YES,YES,198,80,C3D8P,-90.5,-35.5,150.0,445.0,3055.0,3073.51147,GEOMEMBRANE,REUSE_AS_IS
POWERHOUSE_UNIT_01_I,V15_POWERHOUSE_UNIT_01,NO,NO,YES,60,24,C3D8R,-30.0,26.5,-122.0,-95.35,3029.7,3081.0,CONCRETE,REBUILD_REQUIRED
POWERHOUSE_UNIT_02_I,V15_POWERHOUSE_UNIT_02,NO,NO,YES,60,24,C3D8R,-30.0,26.5,-95.35,-68.69999999999999,3029.7,3081.0,CONCRETE,REBUILD_REQUIRED
POWERHOUSE_UNIT_03_I,V15_POWERHOUSE_UNIT_03,NO,NO,YES,60,24,C3D8R,-30.0,26.5,-68.7,-42.050000000000004,3029.7,3081.0,CONCRETE,REBUILD_REQUIRED
POWERHOUSE_UNIT_04_I,V15_POWERHOUSE_UNIT_04,NO,NO,YES,60,24,C3D8R,-30.0,26.5,-42.05000000000001,-15.400000000000013,3029.7,3081.0,CONCRETE,REBUILD_REQUIRED
POWERHOUSE_INSTALLATION_BAY_I,V15_POWERHOUSE_INSTALLATION_BAY,NO,NO,YES,27,8,C3D8R,-64.0,-30.0,-122.0,-15.4,3056.465,3079.0,CONCRETE,REBUILD_REQUIRED
TAILWATER_CHANNEL_I,V15_TAILWATER_CHANNEL,NO,NO,YES,18,4,C3D8R,26.5,180.5,-87.0,-15.4,3036.1,3053.0,CONCRETE,REBUILD_REQUIRED
ECO_RELEASE_01_I,V15_ECO_RELEASE_01,NO,NO,YES,48,10,C3D8R,-35.0,38.0,-15.0,-2.5,3050.0,3077.5,CONCRETE,REBUILD_REQUIRED
ECO_RELEASE_02_I,V15_ECO_RELEASE_02,NO,NO,YES,48,10,C3D8R,-35.0,38.0,-2.5,10.0,3050.0,3077.5,CONCRETE,REBUILD_REQUIRED
SPILLWAY_BAY_01_I,V15_SPILLWAY_BAY_01,NO,NO,YES,45,12,C3D8R,-35.0,38.0,20.0,30.0,3047.5,3079.0,CONCRETE,REBUILD_REQUIRED
SPILLWAY_BAY_02_I,V15_SPILLWAY_BAY_02,NO,NO,YES,45,12,C3D8R,-35.0,38.0,33.625,43.625,3047.5,3079.0,CONCRETE,REBUILD_REQUIRED
SPILLWAY_BAY_03_I,V15_SPILLWAY_BAY_03,NO,NO,YES,45,12,C3D8R,-35.0,38.0,47.25,57.25,3047.5,3079.0,CONCRETE,REBUILD_REQUIRED
SPILLWAY_BAY_04_I,V15_SPILLWAY_BAY_04,NO,NO,YES,45,12,C3D8R,-35.0,38.0,60.875,70.875,3047.5,3079.0,CONCRETE,REBUILD_REQUIRED
