instance,element_label,x,y,z,mean_pore_pressure,hydraulic_head,gradient_x,gradient_y,gradient_z,gradient_norm,neighbor_count,status
P25_SOLID_CUTOFF_WALL_F13-1,32503,-35.5,471.0000305175781,3043.760009765625,1.821516990661621,3043.945689377313,,,,,8,UNRESOLVED_LOCAL_GEOMETRY
P25_SOLID_CUTOFF_WALL_F13-1,32504,-35.5,471.0000305175781,3047.7249755859375,1.8706998825073242,3047.915668744195,,,,,8,UNRESOLVED_LOCAL_GEOMETRY
P25_SOLID_CUTOFF_WALL_F13-1,32505,-35.5,471.0000305175781,3051.6949462890625,0.9880108833312988,3051.795660956069,,,,,8,UNRESOLVED_LOCAL_GEOMETRY
P25_SOLID_CUTOFF_WALL_F13-1,32506,-35.5,471.0000305175781,3055.659912109375,1.163778305053711,3055.7785439447525,,,,,8,UNRESOLVED_LOCAL_GEOMETRY
P25_SOLID_CUTOFF_WALL_F13-1,32507,-35.5,471.0000305175781,3059.625,0.707587718963623,3059.6971292272133,,,,,8,UNRESOLVED_LOCAL_GEOMETRY
P25_SOLID_CUTOFF_WALL_F13-1,32508,-35.5,471.0000305175781,3063.5950927734375,0.9279580116271973,3063.6896858429204,,,,,8,UNRESOLVED_LOCAL_GEOMETRY
P25_SOLID_CUTOFF_WALL_F13-1,32509,-35.5,471.0000305175781,3067.56005859375,0.7401095628738403,3067.6355029936353,,,,,8,UNRESOLVED_LOCAL_GEOMETRY
P25_SOLID_CUTOFF_WALL_F13-1,32510,-35.5,471.0000305175781,3071.5250244140625,0.7364436388015747,3071.600095121382,,,,,5,UNRESOLVED_LOCAL_GEOMETRY
P25_SOLID_CUTOFF_WALL_F13-1,32511,-35.5,475.0000305175781,3021.469970703125,-10.936481475830078,3020.355140787138,,,,,5,UNRESOLVED_LOCAL_GEOMETRY
P25_SOLID_CUTOFF_WALL_F13-1,32512,-35.5,475.0000305175781,3023.9249267578125,-2.380521774291992,3023.6822639877523,,,,,8,UNRESOLVED_LOCAL_GEOMETRY
P25_SOLID_CUTOFF_WALL_F13-1,32513,-35.5,475.0000305175781,3027.8948974609375,-4.5834503173828125,3027.4276752063624,,,,,8,UNRESOLVED_LOCAL_GEOMETRY
P25_SOLID_CUTOFF_WALL_F13-1,32514,-35.5,475.0000305175781,3031.8599853515625,-3.2473411560058594,3031.528961788259,,,,,8,UNRESOLVED_LOCAL_GEOMETRY
P25_SOLID_CUTOFF_WALL_F13-1,32515,-35.5,475.0000305175781,3035.8250732421875,-3.052989959716797,3035.5138612177516,,,,,8,UNRESOLVED_LOCAL_GEOMETRY
P25_SOLID_CUTOFF_WALL_F13-1,32516,-35.5,475.0000305175781,3039.7950439453125,-3.1562862396240234,3039.473302228735,,,,,8,UNRESOLVED_LOCAL_GEOMETRY
P25_SOLID_CUTOFF_WALL_F13-1,32517,-35.5,475.0000305175781,3043.760009765625,-2.182955741882324,3043.537486244536,,,,,8,UNRESOLVED_LOCAL_GEOMETRY
P25_SOLID_CUTOFF_WALL_F13-1,32518,-35.5,475.0000305175781,3047.7249755859375,-2.4100427627563477,3047.4793035408043,,,,,8,UNRESOLVED_LOCAL_GEOMETRY
P25_SOLID_CUTOFF_WALL_F13-1,32519,-35.5,475.0000305175781,3051.6949462890625,-1.3551063537597656,3051.5568110848058,,,,,8,UNRESOLVED_LOCAL_GEOMETRY
P25_SOLID_CUTOFF_WALL_F13-1,32520,-35.5,475.0000305175781,3055.659912109375,-1.4018425941467285,3055.5170127623674,,,,,8,UNRESOLVED_LOCAL_GEOMETRY
P25_SOLID_CUTOFF_WALL_F13-1,32521,-35.5,475.0000305175781,3059.625,-0.7043285369873047,3059.553203003365,,,,,8,UNRESOLVED_LOCAL_GEOMETRY
P25_SOLID_CUTOFF_WALL_F13-1,32522,-35.5,475.0000305175781,3063.5950927734375,-0.631516695022583,3063.530717982915,,,,,8,UNRESOLVED_LOCAL_GEOMETRY
